0.056	0.46	0.281	0.352	0.119	0.35	4
0.488	0.099	0.283	0.333	0.116	0.293	4
0.107	0.008	0.204	0.15	0.032	0.159	4
0.322	0.208	0.305	0.13	0.184	0.317	4
0.242	0.28	0.131	0.21	0.191	0.351	4
0.389	0.112	0.456	0.277	0.185	0.396	4
0.246	0.202	0.277	0.178	0.237	0.483	4
0.33	0.125	0.356	0.268	0.366	0.397	4
0.257	0.314	0.328	0.14	0.128	0.335	4
0.205	0.33	0.253	0.295	0.115	0.224	4
0.33	0.161	0.232	0.122	0.133	0.394	4
0.235	0.17	0.176	0.197	0.185	0.329	4
0.267	0.355	0.328	0.136	0.299	0.444	4
0.281	0.174	0.331	0.19	0.146	0.39	4
0.184	0.258	0.384	0.227	0.189	0.332	4
0.271	0.148	0.229	0.186	0.134	0.289	4
0.1	0.101	0.301	0.283	0.167	0.4	4
0.173	0.187	0.203	0.192	0.168	0.239	4
0.302	0.78	0.305	0.376	0.443	0.14	4
0.176	0.69	0.181	0.543	0.419	0.449	4
0.172	0.503	0.138	0.239	0.137	0.366	4
0.195	0.369	0.13	0.152	0.211	0.428	4
0.281	0.322	0.272	0.225	0.235	0.178	4
0.245	0.111	0.254	0.184	0.208	0.339	4
0.156	0.259	0.131	0.134	0.226	0.323	4
0.168	0.398	0.184	0.222	0.135	0.304	4
0.211	0.417	0.225	0.138	0.15	0.39	4
0.255	0.468	0.203	0.156	0.252	0.369	4
0.279	0.481	0.331	0.219	0.182	0.402	4
0.341	0.429	0.231	0.217	0.147	0.397	4
0.23	0.429	0.178	0.237	0.188	0.324	4
0.266	0.429	0.375	0.162	0.222	0.433	4
0.252	0.545	0.283	0.246	0.19	0.433	4
0.227	0.431	0.28	0.223	0.182	0.331	4
0.277	0.391	0.383	0.252	0.235	0.477	4
0.329	0.528	0.33	0.271	0.192	0.375	4
0.053	0.054	0.18	0.328	0.123	0.165	4
0.152	0.031	0.227	0.357	0.467	0.168	4
0.269	0.001	0.158	0.167	0.098	0.212	4
0.042	0.093	0.272	0.318	0.332	0.225	4
0.179	0.091	0.242	0.324	0.523	0.323	4
0.209	0.139	0.239	0.27	0.43	0.358	4
0.432	0.094	0.176	0.258	0.365	0.281	4
0.354	0.152	0.14	0.132	0.473	0.298	4
0.247	0.136	0.13	0.239	0.251	0.184	4
0.328	0.153	0.357	0.281	0.363	0.199	4
0.215	0.203	0.19	0.206	0.32	0.286	4
0.433	0.178	0.305	0.19	0.302	0.33	4
0.294	0.113	0.232	0.247	0.315	0.208	4
0.237	0.208	0.258	0.24	0.318	0.235	4
0.244	0.368	0.38	0.207	0.232	0.379	4
0.199	0.211	0.23	0.366	0.424	0.369	4
0.286	0.137	0.202	0.291	0.378	0.267	4
0.219	0.138	0.204	0.227	0.283	0.361	4
0.261	0.132	0.259	0.197	0.302	0.158	4
0.316	0.231	0.207	0.27	0.424	0.225	4
0.221	0.144	0.082	0.168	0.296	0.32	4
0.326	0.185	0.178	0.246	0.329	0.435	4
0.284	0.295	0.309	0.337	0.338	0.4	4
0.242	0.183	0.281	0.2	0.304	0.318	4
0.268	0.191	0.227	0.19	0.329	0.242	4
0.257	0.159	0.327	0.187	0.284	0.424	4
0.174	0.145	0.127	0.245	0.325	0.372	4
0.251	0.221	0.233	0.188	0.299	0.339	4
0.237	0.159	0.281	0.177	0.326	0.3	4
0.298	0.135	0.285	0.151	0.239	0.376	4
0.288	0.16	0.234	0.212	0.33	0.217	4
0.263	0.166	0.204	0.159	0.305	0.361	4
0.273	0.201	0.276	0.22	0.364	0.255	4
0.233	0.202	0.278	0.178	0.321	0.334	4
0.243	0.185	0.177	0.24	0.333	0.426	4
0.299	0.187	0.331	0.294	0.429	0.387	4
0.202	0.257	0.335	0.171	0.399	0.297	4
0.229	0.192	0.327	0.28	0.161	0.367	4
0.348	0.296	0.476	0.212	0.074	0.374	4
0.369	0.328	0.283	0.118	0.127	0.386	4
0.186	0.351	0.282	0.192	0.209	0.394	4
0.27	0.288	0.377	0.23	0.139	0.396	4
0.302	0.319	0.182	0.146	0.157	0.277	4
0.216	0.33	0.385	0.224	0.18	0.335	4
0.32	0.096	0.383	0.125	0.071	0.321	3
0.167	0.202	0.305	0.16	0.102	0.158	3
